county,total_cost,total_incentive,total_kw,projects
Albany,82657273.78999996,11843357.71,17916.259999999977,2514
Allegany,3205908.6599999997,566589.25,845.59,98
Bronx,41211428.430000044,3728405.0,8991.340000000037,1662
Broome,9170229.719999999,2019660.75,2189.6099999999997,294
Cattaraugus,4999957.029999999,948069.0,1375.5499999999997,154
Cayuga,9213069.739999998,1819847.12,2572.249999999999,290
Chautauqua,8887121.68,1802855.5,2389.059999999998,307
Chemung,5328684.780000001,984109.75,1398.5499999999997,159
Chenango,3759259.8200000003,764174.0,923.9500000000002,116
Clinton,7651424.570000001,1931592.0,1858.3300000000006,205
Columbia,31583976.020000014,6116113.68,6304.399999999993,807
Cortland,6844548.779999999,1353892.0,1870.09,211
Delaware,4554035.029999999,988184.0,942.8899999999999,129
Dutchess,124009371.76999979,18883561.509999998,27671.910000000003,3317
Erie,63363265.060000055,10432300.719999999,17232.959999999937,2369
Essex,7182588.459999998,1412906.0,1796.1600000000005,249
Franklin,3991406.72,741912.0,991.9899999999996,139
Fulton,13507024.870000003,1804505.0,2907.3199999999983,354
Genesee,5681112.039999998,1119358.0,1616.1699999999994,178
Greene,22218950.880000003,3401779.0,4748.889999999998,598
Hamilton,754124.7,105498.0,191.69000000000005,25
Herkimer,6710508.430000002,994382.0,1533.1099999999997,168
Jefferson,7701952.409999999,1606882.0,2112.960000000001,225
Kings,100257719.63999988,9095049.25,19656.760000000024,3643
Lewis,1693799.2,308108.0,444.27000000000004,45
Livingston,7594575.760000002,1461901.5,2083.219999999999,233
Madison,9170670.34,1879013.0,2456.8299999999995,283
Monroe,30405237.58,5580292.5,8594.210000000006,1160
Montgomery,23697885.759999998,3246890.75,5198.979999999996,643
Nassau,314622297.60999846,49686783.430000044,67682.42000000009,9159
New York,16828892.66,1841619.25,3286.58,522
Niagara,16285990.60999999,2878043.23,4595.52,532
Oneida,19312103.220000006,3235232.5,4919.180000000002,608
Onondaga,30166388.000000022,5790799.1899999995,8346.859999999984,994
Ontario,13195846.939999996,2613683.5,3779.0100000000007,384
Orange,202709001.25999996,27069601.65,46542.34000000009,5533
Orleans,5258101.849999999,1057834.78,1482.3300000000008,165
Oswego,10811681.27,2135587.0,3091.719999999998,341
Otsego,8192687.0200000005,1405968.5,1918.9800000000012,254
Putnam,19556781.949999996,2519089.8,4325.6500000000015,522
Queens,208336140.97999972,21201915.85,47574.78999999989,8271
Rensselaer,62261317.00999997,9394994.1,13360.579999999973,1740
Richmond,239562627.89000037,32006105.730000004,53459.82999999982,7355
Rockland,107938982.60000029,14051014.629999999,26197.13999999997,3162
Saratoga,71663929.73999998,9730945.6,15734.270000000013,2006
Schenectady,56717791.079999976,7458848.05,11960.929999999991,1683
Schoharie,12999938.889999995,2112685.0,2843.0400000000013,348
Schuyler,4443984.990000001,792048.0,1263.3499999999997,135
Seneca,3875468.710000001,756531.7,1047.77,117
St. Lawrence,12027613.09999998,2335848.96,3446.6599999999953,460
Steuben,3403420.15,601865.0,934.5,103
Suffolk,650214122.1600022,116113768.47000028,132559.94000000032,16793
Sullivan,14113236.119999994,2560304.84,3370.710000000001,406
Tioga,6752243.319999998,1463446.0,1703.3099999999995,210
Tompkins,39495452.930000015,8897310.31,9427.149999999989,1274
Ulster,107122222.88000003,18017503.73,23533.240000000013,2920
Warren,18034745.7,2611512.45,4191.020000000002,508
Washington,21419218.459999993,3387870.5,4738.95,548
Wayne,9043929.969999999,1778603.5,2654.41,272
Westchester,185492235.68999994,25683767.060000002,44643.249999999854,5965
Wyoming,3643026.47,610427.5,1048.3499999999997,116
Yates,3667991.870000001,802191.0,1017.4499999999998,105
